id,created_at,favorite_count,retweet_count,text
1466003675625758721,2021-12-01 11:18:07,135,47,"#GlobalGateway will support the green and digital transitions globally, with up to €300 billion mobilised by 2027.
 
From renewable hydrogen to underwater data cables connecting continents. 

It will also focus on transport, healthcare and education. https://t.co/UGOOKNw7RD"
1466002510049685509,2021-12-01 11:13:30,142,37,"Many countries need a trusted partner to design sustainable, quality projects.

Projects that are implemented in all transparency and that deliver lasting social and economic benefits to local communities. 

#GlobalGateway is that positive offer. https://t.co/p0HrCwEIqY"
1466001177720627205,2021-12-01 11:08:12,342,131,"For two years, the @EU_Commission focused on the green and digital transitions in Europe. 

We have invested massively in infrastructure and skills. 

Today, with #GlobalGateway we show that Europe will support its partners around the world to do the same. https://t.co/L7u7jFnIhx"
1465991920904286210,2021-12-01 10:31:25,589,179,"Today I will present Europe’s new connectivity strategy: Global Gateway.

With Global Gateway, #TeamEurope will invest in quality infrastructure, in a fair and sustainable way.

Connecting the world, and protecting our planet. https://t.co/uuN7vBM3c4"
1465744105657483266,2021-11-30 18:06:41,1000,185,"I just talked to Prime Minister of Iraq @MAKadhimi 
 
We are cooperating closely on repatriation flights to ensure the safe return of Iraqi nationals stranded in Belarus. https://t.co/78IevmFjij"
1465699417231560715,2021-11-30 15:09:07,520,126,"Glad to meet the Prime Ministers of Georgia 🇬🇪 Moldova 🇲🇩  and Ukraine 🇺🇦
 
Let's bring our Association Agreements to full potential and strengthen our cooperation across the board.
 
Looking forward to our summit to give fresh impetus to our Easter Partnership. https://t.co/CPeOs7dQUD"
1465613119246503937,2021-11-30 9:26:12,386,110,"Today's meeting of Commissioners on the pandemic discussed:

• Presence of #Omicron in the EU
• Increasing capacity for sequencing, testing and contact-tracing
• Stepping up vaccination &amp; boosters
• Measures taken at external borders
• Repatriation flights for EU citizens https://t.co/MuV7LUIuRs"
1465387208802766854,2021-11-29 18:28:30,331,82,"Guter Austausch @a_schallenberg zur COVID-Lage in 🇦🇹 und 🇪🇺

#Omicron ist Anlass zur Sorge.

Wir müssen mehr Impfen, Boostern, Testen und alles tun, die Ausbreitung zu bremsen. Laboranalysen und Kontaktverfolgung sind sehr wichtig.

🇪🇺 kämpft gemeinsam gegen die Pandemie. https://t.co/vYsDq14eGW"
1465374110159097860,2021-11-29 17:36:27,302,66,"🇫🇷🇪🇺 Ravie de rencontrer le Président du Sénat @gerard_larcher à l’approche de la présidence française de l’UE.
 
Nous avons fait un tour d'horizon des sujets d'actualité.

Le Parlement français contribuera à faire de cette présidence un succès. https://t.co/tjAJp813yW"
1465295052687745026,2021-11-29 12:22:19,905,283,"Renewable hydrogen will be key to the climate-neutral economy of the future.
 
I’m proud that Europe is the world’s clean hydrogen trailblazer.
 
Now is the time to invest in our leadership. 
 
€30 billion from #NextGenerationEU will go to clean energy, including clean hydrogen."
